Id,Needs_NSC_Review__c,NSC_Review_Reason__c,Index (for debugging)
003f400000TlTLuAAN,True,<Changed>New unreported left college: San Francisco State University (Aug 2018 start),986
003f400000KvxNYAAZ,True,<Changed>New unreported left college: Butte College (Aug 2018 start),1545
003f40000169i0fAAA,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2019 start),3398
003f400000KvxIKAAZ,True,<Changed>New unreported left college: Canada College (Jun 2018 start),1722
003f400000KvxfjAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2019 start),3349
003f400000KvxfjAAB,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jun 2018 start),3348
003f400000KvxXHAAZ,True,<Changed>New unreported left college: Foothill College (Jan 2019 start),3871
003f400000TlTMRAA3,True,<Changed>New unreported left college: Canada College (Jan 2019 start),1459
003f400000TlTMRAA3,True,<Changed>New unreported left college: Foothill College (Sep 2018 start),1458
003f400000KvxLoAAJ,True,<Changed>New unreported left college: California State University-Sacramento (Aug 2017 start),1735
003f400000KvxdaAAB,True,<Changed>New unreported left college: San Jose City College (Jan 2019 start),1100
003f400000KvxdaAAB,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2019 start),1101
003f40000169hxaAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start),2676
003f400000KvxROAAZ,True,<Changed>New unreported left college: San Jose City College (Sep 2018 start),768
003f400000KvxROAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start),771
003f400000KvxROAAZ,True,<Added>NSC indicates previously unreported enrollment (Graduated):  (Aug 2015 start),770
003f400000KvxSvAAJ,True,<Changed>New unreported left college: College of San Mateo (Aug 2017 start),4052
003f400000Kvxe4AAB,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jun 2018 start),1484
003f400000xFjyZAAS,True,<Changed>New unreported left college: University of Southern California (Aug 2016 start),3759
003f400000KvxNSAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Feb 2016 start),3286
003f400000KvxPnAAJ,True,<Changed>New unreported left college: Canada College (Jan 2019 start),3043
003f400000KvxPnAAJ,True,<Changed>New unreported left college: San Francisco State University (Jan 2019 start),3041
003f400000KvxPnAAJ,True,<Changed>New unreported left college: San Francisco State University (Aug 2017 start),3040
003f400000KvxJ8AAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start),3196
003f400000TlTQAAA3,True,<Changed>New unreported left college: University of California-Riverside (Jul 2018 start),2246
003f400000TlTQFAA3,True,<Changed>New unreported left college: University of California-Merced (Aug 2018 start),2470
003f400000KvxVaAAJ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2017 start),3808
003f400000KvxRNAAZ,True,<Changed>New unreported left college: Truckee Meadows Community College (May 2018 start),3375
