Id,Needs_NSC_Review__c,NSC_Review_Reason__c
003f400001XsrjHAAR,True,<Warning>Attending enrollment not confirmed by NSC: De Anza College (Sep 2020 start)
003f400000TlTLuAAN,True,<Changed>New unreported left college: San Francisco State University (Aug 2018 start)
003f400000KvxctAAB,True,<Warning>Attending enrollment not confirmed by NSC: Washington University in St Louis (Jan 2018 start)
003f400000KvxNYAAZ,True,<Changed>New unreported left college: Butte College (Aug 2018 start)
003f400000TlTPlAAN,True,<Warning>Attending enrollment not confirmed by NSC: California Institute of the Arts (Sep 2018 start); <Warning>Attending enrollment not confirmed by NSC: De Anza College (Sep 2020 start)
003f40000169i0fAAA,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2019 start); <Warning>Withdrew enrollment not confirmed by NSC: Evergreen Valley College (Sep 2019 start)
003f400001Xsrx8AAB,True,<Not changed>NSC indicates still attending (currently Withdrew): University of Missouri-Columbia (Aug 2020 start currently 09/11/2020 end)
003f400001XsrjmAAB,True,<Warning>Attending enrollment not confirmed by NSC: De Anza College (Sep 2020 start)
003f400001XsrsqAAB,True,<Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Aug 2020 start)
003f400000TlTQiAAN,True,<Warning>Attending enrollment not confirmed by NSC: University of California-Irvine (Sep 2018 start)
003f40000169hqPAAQ,True,<Not changed>NSC indicates still attending (currently Withdrew): Johnson & Wales University-Providence (Aug 2020 start currently 09/15/2020 end)
003f400000TlTMvAAN,True,<Changed>New unreported left college: San Francisco State University (Aug 2018 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2019 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Jan 2019 start); <Warning>Attending enrollment not confirmed by NSC: San Jose City College (Aug 2020 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Aug 2020 start)
003f400000Kvxd5AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2017 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Jan 2020 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Sep 2017 start)
003f400001XsrrhAAB,True,<Warning>Withdrew enrollment not confirmed by NSC: California State University-Sacramento (Aug 2020 start)
003f400000OdnFYAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Sep 2018 start)
003f400001XsrrtAAB,True,<Warning>Attending enrollment not confirmed by NSC: University of California-Irvine (Sep 2020 start)
003f400000KvxMJAAZ,True,<Changed>New unreported left college: Northeastern University (May 2017 start)
003f400001Xsrq5AAB,True,<Warning>Attending enrollment not confirmed by NSC: San Jose State University (Aug 2020 start)
003f400000KvxIKAAZ,True,<Changed>New unreported left college: Canada College (Jun 2018 start)
003f400000KvxYDAAZ,True,<Changed>New unreported left college: Canada College (Aug 2018 start); <Warning>Attending enrollment not confirmed by NSC: Menlo College (Sep 2020 start)
003f400001XsrwiAAB,True,<Warning>Attending enrollment not confirmed by NSC: University of California-Irvine (Sep 2020 start)
003f40000169hrVAAQ,True,<Warning>Attending enrollment not confirmed by NSC: University of Washington-Seattle Campus (Sep 2019 start)
003f400000KvxfjAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2019 start); <Added>NSC indicates previously unreported enrollment (Transferred out):  (Jun 2018 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Jun 2019 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Jun 2018 start)
003f400000KvxU7AAJ,True,<Changed>New unreported graduation (was Withdrew): Wesleyan University (May 2020); <Warning>Graduated enrollment not confirmed by NSC: Wesleyan University (May 2020 start)
003f400001XsrvlAAB,True,<Warning>Attending enrollment not confirmed by NSC: University of Washington-Seattle Campus (Sep 2020 start)
003f400001XsrwVAAR,True,<Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Aug 2020 start)
003f400001XsroHAAR,True,<Warning>Attending enrollment not confirmed by NSC: California State University-Stanislaus (Aug 2020 start)
003f400001XsrxMAAR,True,<Warning>Attending enrollment not confirmed by NSC: University of California-Santa Cruz (Sep 2020 start)
003f400000TlTQnAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2019 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Jan 2019 start)
003f40000169hqaAAA,True,<Warning>Attending enrollment not confirmed by NSC: De Anza College (Sep 2020 start)
003f40000169hvwAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Jan 2020 start)
003f40000169hz9AAA,True,<Warning>Attending enrollment not confirmed by NSC: Sacramento City College (Aug 2020 start)
003f400001XsrqTAAR,True,<Warning>Attending enrollment not confirmed by NSC: Wesleyan University (Aug 2020 start)
003f400000KvxXHAAZ,True,<Changed>New unreported left college: Foothill College (Jan 2019 start)
003f400000TlTMKAA3,True,<Changed>New unreported left college: Cogswell Polytechnical College (Sep 2018 start)
003f400001XsriWAAR,True,<Warning>Attending enrollment not confirmed by NSC: University of Washington-Seattle Campus (Sep 2020 start)
003f400001XsrrmAAB,True,<Warning>Attending enrollment not confirmed by NSC: Foothill College (Sep 2020 start)
003f40000169i1IAAQ,True,<Warning>Attending enrollment not confirmed by NSC: Skyline College (Aug 2020 start)
003f400000OdnFiAAJ,True,<Warning>Attending enrollment not confirmed by NSC: College of San Mateo (Aug 2019 start)
003f400000TlTMRAA3,True,<Changed>New unreported left college: Canada College (Jan 2019 start); <Changed>New unreported left college: Foothill College (Sep 2018 start)
003f400000Kvxg5AAB,True,<Changed>New unreported left college: San Jose State University (Aug 2017 start)
003f400000KvxLoAAJ,True,<Changed>New unreported left college: California State University-Sacramento (Aug 2017 start)
003f400001XsrjeAAB,True,<Warning>Attending enrollment not confirmed by NSC: Bloomsburg University of Pennsylvania (Aug 2020 start)
003f400000KvxK9AAJ,True,<Changed>New unreported left college: Canada College (Aug 2018 start)
003f400001XsriIAAR,True,<Warning>Attending enrollment not confirmed by NSC: Bakersfield College (Aug 2020 start)
003f400000KvxceAAB,True,<Not changed>NSC indicates still attending (currently Withdrew): Canada College (Aug 2019 start currently 08/27/2020 end)
003f400000TlTMFAA3,True,<Changed>New unreported left college: Notre Dame de Namur University (Aug 2018 start); <Warning>Attending enrollment not confirmed by NSC: Menlo College (Sep 2020 start)
003f400000KvxfMAAR,True,<Changed>New unreported left college: San Francisco State University (Aug 2017 start)
003f40000169hqnAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Sep 2019 start); <Warning>Attending enrollment not confirmed by NSC: San Jose City College (Aug 2020 start)
003f400000KvxVKAAZ,True,<Warning>Attending enrollment not confirmed by NSC: De Anza College (Sep 2020 start)
003f400000KvxWjAAJ,True,<Not changed>Graduation not confirmed (Attending in NSC): University of California-Davis (Sep 2018 start); <Changed>New unreported left college: San Jose City College (Aug 2016 start); <Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start); <Warning>Transferred out enrollment not confirmed by NSC: Evergreen Valley College (Jan 2018 start)
003f400001Xsrh0AAB,True,<Warning>Attending enrollment not confirmed by NSC: California State University-Long Beach (Aug 2020 start)
003f400000KvxdDAAR,True,<Warning>Attending enrollment not confirmed by NSC: University of California-Berkeley (Aug 2018 start)
003f400000KvxSiAAJ,True,<Warning>Withdrew enrollment not confirmed by NSC: University of California-Santa Cruz (Sep 2020 start)
003f400000KvxdaAAB,True,<Changed>New unreported left college: San Jose City College (Jan 2019 start); <Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2019 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Jan 2019 start)
003f400000TlTStAAN,True,<Changed>New unreported left college: University of California-Santa Barbara (Sep 2018 start)
003f40000169hxaAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start); <Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Sep 2019 start)
