Id,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index (for debugging),Enrollment_Status__c
a02f400000Bli3wAAB,2018-08-27,2018-12-17,2019-11-18,Withdrew,Bachelor's,NSC,,,986.0,H
a02f400000iSnAPAA0,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,35.0,
a02f4000006n6uoAAA,2016-08-17,2016-12-09,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,34.0,
a02f4000006n6upAAA,2016-06-01,2017-03-19,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,33.0,
a02f400000Kbk7nAAB,2019-09-25,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,867.0,H
a02f4000006n6iEAAQ,2015-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,1546.0,
a02f400000Bli2rAAB,2018-08-20,2018-12-14,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1545.0,H
a02f400000KbGeYAAV,2019-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,460.0,
a02f400000iSnHLAA0,2020-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4076.0,F
a02f400000iSnGzAAK,2020-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,1494.0,
a02f400000iSn9TAAS,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4058.0,H
a02f400000PaNNhAAN,2020-01-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4057.0,F
a02f4000006n7P3AAI,2016-08-08,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1010.0,L
a02f4000006n6y6AAA,2013-08-26,2017-05-12,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,HUMAN BIOLOGY,1724.0,W
a02f400000G1i5pAAB,2019-01-22,,2019-11-18,Attending,Bachelor's,NSC,,,1723.0,L
a02f4000006n6y8AAA,2016-06-13,2016-07-21,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1721.0,Q
a02f4000006n6y7AAA,2015-06-15,2015-07-23,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1720.0,L
a02f4000006n6y9AAA,2017-08-23,2018-08-10,2019-11-18,Graduated,Certificate,NSC,CERTIFICATE,CEL PRE NURSING - CT,1719.0,W
a02f400000Bli6MAAR,2018-06-11,2018-12-15,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1722.0,L
a02f400000KbGhZAAV,2019-08-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1772.0,
a02f400000KbGijAAF,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,1950.0,L
a02f4000006n7DZAAY,2016-06-20,2016-07-28,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1949.0,W
a02f4000006n7DaAAI,2015-09-23,2019-06-15,2019-11-18,Graduated,Bachelor's,NSC,BA IN BUSINESS ADMINISTRATION,MARKETING,1948.0,H
a02f400000KbGcSAAV,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,96.0,F
a02f400000KbGZnAAN,2019-09-05,,2019-11-18,Attending,Bachelor's,NSC,,,2277.0,F
a02f4000006n72oAAA,2017-04-10,2018-06-29,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1978.0,F
a02f4000006n72nAAA,2015-09-03,2016-12-17,2019-11-18,Transferred out,Bachelor's,NSC,,,1977.0,Q
a02f4000006n772AAA,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,3347.0,Q
a02f4000006n7C9AAI,2016-08-30,2018-02-20,2019-11-18,Withdrew,Bachelor's,NSC,,,2994.0,F
a02f400000iSnAYAA0,2020-08-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1868.0,Q
a02f4000006n7IoAAI,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,2651.0,
a02f400000KZCHXAA5,2019-04-08,2019-06-04,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,2650.0,F
a02f400000KZCJ5AAP,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3872.0,L
a02f400000BlhzdAAB,2017-09-25,2018-06-29,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3870.0,Q
a02f400000G1i5lAAB,2019-01-07,2019-03-29,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3871.0,F
