Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
Perfect Match,003f400000KvxTtAAJ,001f400000LvhPPAAZ,2016-09-19,,2018-11-28,Attending,Bachelor's,NSC,,,506,003f400000KvxTtAAJ,001f400000LvhPPAAZ,2016-09-19,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7BcAAI,,,1485
Perfect Match,003f400000KvxRqAAJ,001f400000LvhPRAAZ,2015-09-24,,2018-11-28,Attending,Bachelor's,NSC,,,1538,003f400000KvxRqAAJ,001f400000LvhPRAAZ,2015-09-24,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7PfAAI,,,2100
Perfect Match,003f400000KvxRqAAJ,001f400000Lvhz1AAB,2016-06-06,2016-07-04,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1537,003f400000KvxRqAAJ,001f400000Lvhz1AAB,2016-06-06,2016-07-04,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7PgAAI,,,2101
Perfect Match,003f400000TlTQ2AAN,001f400000LvhyhAAB,2018-08-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,531,003f400000TlTQ2AAN,001f400000LvhyhAAB,2018-08-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BlhyRAAR,,,2229
Perfect Match,003f400000KvxMoAAJ,001f400000LvhQBAAZ,2014-08-27,2014-12-13,2018-11-28,Transferred out,Bachelor's,NSC,,,1010,003f400000KvxMoAAJ,001f400000LvhQBAAZ,2014-08-27,2014-12-13,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n6mbAAA,,,361
Perfect Match,003f400000KvxMoAAJ,001f400000LvhzZAAR,2015-01-12,2015-12-18,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1009,003f400000KvxMoAAJ,001f400000LvhzZAAR,2015-01-12,2015-12-18,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6mYAAQ,,,358
Perfect Match,003f400000KvxMoAAJ,001f400000LvhyZAAR,2018-08-15,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1008,003f400000KvxMoAAJ,001f400000LvhyZAAR,2018-08-15,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli5lAAB,,,2683
Perfect Match,003f400000KvxMoAAJ,001f400000LvhyZAAR,2017-01-17,2017-05-26,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,1007,003f400000KvxMoAAJ,001f400000LvhyZAAR,2017-01-17,2017-05-26,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6maAAA,,,360
Perfect Match,003f400000KvxMoAAJ,001f400000LvhyZAAR,2016-01-20,2016-05-19,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,1006,003f400000KvxMoAAJ,001f400000LvhyZAAR,2016-01-20,2016-05-19,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6mZAAQ,,,359
Perfect Match,003f400000KvxOZAAZ,001f400000LvhyZAAR,2015-08-17,2015-12-16,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2777,003f400000KvxOZAAZ,001f400000LvhyZAAR,2015-08-17,2015-12-16,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7GDAAY,,,1701
Perfect Match,003f400000KvxNqAAJ,001f400000LvhPSAAZ,2015-09-19,,2018-11-28,Attending,Bachelor's,NSC,,,2212,003f400000KvxNqAAJ,001f400000LvhPSAAZ,2015-09-19,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6y1AAA,,,855
Perfect Match,003f400000KvxHEAAZ,001f400000LvhkwAAB,2016-06-01,2017-05-28,2018-11-28,Graduated,Master's,NSC,MASTER OF PUBLIC AFFAIRS,PUBLIC AFFAIRS,1719,003f400000KvxHEAAZ,001f400000LvhkwAAB,2016-06-01,2017-05-28,2018-11-28,Graduated,Master's,NSC,MASTER OF PUBLIC AFFAIRS,PUBLIC AFFAIRS,a02f4000006n79FAAQ,,,1378
Perfect Match,003f400000KvxHEAAZ,001f400000LvhkwAAB,2012-09-05,2016-05-29,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ANTHROPOLOGY,1718,003f400000KvxHEAAZ,001f400000LvhkwAAB,2012-09-05,2016-05-29,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ANTHROPOLOGY,a02f4000006n79EAAQ,,,1377
Perfect Match,003f400000TlTMlAAN,001f400000LvhPLAAZ,2018-08-15,,2018-11-28,Attending,Bachelor's,NSC,,,2048,003f400000TlTMlAAN,001f400000LvhPLAAZ,2018-08-15,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli6DAAR,,,2711
Perfect Match,003f400000KvxPoAAJ,001f400000LvhPPAAZ,2015-09-24,,2018-11-28,Attending,Bachelor's,NSC,,,978,003f400000KvxPoAAJ,001f400000LvhPPAAZ,2015-09-24,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6faAAA,,,37
Perfect Match,003f400000KvxPoAAJ,001f400000LvhyZAAR,2016-06-13,2016-07-21,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,977,003f400000KvxPoAAJ,001f400000LvhyZAAR,2016-06-13,2016-07-21,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6fZAAQ,,,36
Perfect Match,003f400000TlTQfAAN,001f400000LvhyhAAB,2018-08-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1656,003f400000TlTQfAAN,001f400000LvhyhAAB,2018-08-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BlhycAAB,,,2240
Perfect Match,003f400000KvxJwAAJ,001f400000LvhPJAAZ,2014-01-21,2015-05-22,2018-11-28,Withdrew,Bachelor's,NSC,,,1809,003f400000KvxJwAAJ,001f400000LvhPJAAZ,2014-01-21,2015-05-22,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6kFAAQ,,,256
Perfect Match,003f400000KvxJwAAJ,001f400000LvhyZAAR,2016-08-17,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1808,003f400000KvxJwAAJ,001f400000LvhyZAAR,2016-08-17,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n6kEAAQ,,,255
Perfect Match,003f400000KvxFLAAZ,001f400000LvhdRAAR,2012-08-20,2014-12-13,2018-11-28,Withdrew,Bachelor's,NSC,,,2406,003f400000KvxFLAAZ,001f400000LvhdRAAR,2012-08-20,2014-12-13,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f400000Bli2lAAB,,,2497
Perfect Match,003f400000KvxYwAAJ,001f400000LvhyZAAR,2017-08-16,2018-08-28,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2712,003f400000KvxYwAAJ,001f400000LvhyZAAR,2017-08-16,2018-08-28,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n76fAAA,,,1254
Perfect Match,003f400000KvxORAAZ,001f400000Lvi0MAAR,2018-06-11,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,134,003f400000KvxORAAZ,001f400000Lvi0MAAR,2018-06-11,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli1uAAB,,,2444
Perfect Match,003f400000KvxORAAZ,001f400000Lvi07AAB,2018-08-15,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,133,003f400000KvxORAAZ,001f400000Lvi07AAB,2018-08-15,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli1tAAB,,,2443
Perfect Match,003f400000KvxORAAZ,001f400000Lvi07AAB,2015-08-17,2018-05-25,2018-11-28,Graduated,Associate's,NSC,ASSOCIATE IN ARTS,SOCIAL SCIENCE,132,003f400000KvxORAAZ,001f400000Lvi07AAB,2015-08-17,2018-05-25,2018-11-28,Graduated,Associate's or Certificate (TBD),NSC,ASSOCIATE IN ARTS,SOCIAL SCIENCE,a02f4000006n7LOAAY,,,1924
Perfect Match,003f400000KvxY0AAJ,001f400000LvhPNAAZ,2017-09-25,,2018-11-28,Attending,Bachelor's,NSC,,,457,003f400000KvxY0AAJ,001f400000LvhPNAAZ,2017-09-25,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7IIAAY,,,1806
Perfect Match,003f400000KvxQpAAJ,001f400000LvhQYAAZ,2017-08-23,,2018-11-28,Attending,Bachelor's,NSC,,,2050,003f400000KvxQpAAJ,001f400000LvhQYAAZ,2017-08-23,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n74KAAQ,,,1150
Perfect Match,003f400000KvxQpAAJ,001f400000Lvi06AAB,2015-08-31,2017-05-26,2018-11-28,Graduated,Associate's,NSC,ASSOCIATE OF ARTS,LIBERAL ARTS: SOC/BEH SCI,2049,003f400000KvxQpAAJ,001f400000Lvi06AAB,2015-08-31,2017-05-26,2018-11-28,Graduated,Associate's,NSC,ASSOCIATE OF ARTS,LIBERAL ARTS: SOC/BEH SCI,a02f4000006n74JAAQ,,,1149
Perfect Match,003f400000KvxNLAAZ,001f400000LvhoBAAR,2014-08-25,2018-05-11,2018-11-28,Withdrew,Bachelor's,NSC,,,1204,003f400000KvxNLAAZ,001f400000LvhoBAAR,2014-08-25,2018-05-11,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6htAAA,,,131
Perfect Match,003f400000KvxRpAAJ,001f400000LvhQiAAJ,2015-08-25,2016-10-04,2018-11-28,Transferred out,Bachelor's,NSC,,,2506,003f400000KvxRpAAJ,001f400000LvhQiAAJ,2015-08-25,2016-10-04,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n6oYAAQ,,,450
Perfect Match,003f400000KvxRpAAJ,001f400000Lvi06AAB,2017-09-05,2018-05-25,2018-11-28,Graduated,Associate's,NSC,ASSOCIATE OF ARTS-TRANSFER,LIBERAL ARTS: SOC/BEH SCI,2505,003f400000KvxRpAAJ,001f400000Lvi06AAB,2017-09-05,2018-05-25,2018-11-28,Graduated,Associate's or Certificate (TBD),NSC,ASSOCIATE OF ARTS-TRANSFER,LIBERAL ARTS: SOC/BEH SCI,a02f4000006n6oVAAQ,,,447
Perfect Match,003f400000KvxRpAAJ,001f400000Lvhz1AAB,2016-06-06,2016-09-16,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,2504,003f400000KvxRpAAJ,001f400000Lvhz1AAB,2016-06-06,2016-09-16,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6oXAAQ,,,449
Perfect Match,003f400000KvxRpAAJ,001f400000LvhQYAAZ,2018-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,2503,003f400000KvxRpAAJ,001f400000LvhQYAAZ,2018-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli0RAAR,,,2353
Perfect Match,003f400000KvxRpAAJ,001f400000LvhyrAAB,2016-06-27,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,2502,003f400000KvxRpAAJ,001f400000LvhyrAAB,2016-06-27,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6oWAAQ,,,448
"Status matches, but different start dates",003f400000KvxNuAAJ,001f400000LvhQWAAZ,2017-08-23,2018-05-15,2018-11-28,Withdrew,Bachelor's,NSC,,,1369,003f400000KvxNuAAJ,001f400000LvhQWAAZ,2015-08-21,2018-05-15,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6imAAA,,,177
Perfect Match,003f400000KvxP5AAJ,001f400000LvhQWAAZ,2015-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,1606,003f400000KvxP5AAJ,001f400000LvhQWAAZ,2015-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7PTAAY,,,2094
Perfect Match,003f400000KvxKMAAZ,001f400000LvhQeAAJ,2013-09-23,2017-06-16,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,SOCIOLOGY,1767,003f400000KvxKMAAZ,001f400000LvhQeAAJ,2013-09-23,2017-06-16,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,SOCIOLOGY,a02f4000006n7HJAAY,,,1751
Perfect Match,003f400000TlTQdAAN,001f400000LvhPKAAZ,2018-08-27,,2018-11-28,Attending,Bachelor's,NSC,,,2793,003f400000TlTQdAAN,001f400000LvhPKAAZ,2018-08-27,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli62AAB,,,2700
Perfect Match,003f400000KvxdxAAB,001f400000LvhyrAAB,2017-09-25,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1465,003f400000KvxdxAAB,001f400000LvhyrAAB,2017-09-25,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n6mfAAA,,,365
