Id,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index (for debugging)
a02f400000Bli3wAAB,2018-08-27,2018-12-17,2019-11-18,Withdrew,Bachelor's,NSC,,,986
a02f400000iSnAPAA0,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,35
a02f4000006n6uoAAA,2016-08-17,2016-12-09,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,34
a02f4000006n6upAAA,2016-06-01,2017-03-19,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,33
a02f400000Kbk7nAAB,2019-09-25,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,867
a02f4000006n6iEAAQ,2015-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,1546
a02f400000Bli2rAAB,2018-08-20,2018-12-14,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1545
a02f400000KbGeYAAV,2019-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,460
a02f400000iSnHLAA0,2020-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4076
a02f400000iSnGzAAK,2020-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,1494
a02f400000iSn9TAAS,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4058
a02f400000PaNNhAAN,2020-01-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4057
a02f4000006n7P3AAI,2016-08-08,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1010
a02f4000006n6y6AAA,2013-08-26,2017-05-12,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,HUMAN BIOLOGY,1724
a02f400000G1i5pAAB,2019-01-22,,2019-11-18,Attending,Bachelor's,NSC,,,1723
a02f4000006n6y8AAA,2016-06-13,2016-07-21,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1721
a02f4000006n6y7AAA,2015-06-15,2015-07-23,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1720
a02f4000006n6y9AAA,2017-08-23,2018-08-10,2019-11-18,Graduated,Certificate,NSC,CERTIFICATE,CEL PRE NURSING - CT,1719
a02f400000Bli6MAAR,2018-06-11,2018-12-15,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1722
a02f400000KbGhZAAV,2019-08-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1772
a02f400000KbGijAAF,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,1950
a02f4000006n7DZAAY,2016-06-20,2016-07-28,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1949
a02f4000006n7DaAAI,2015-09-23,2019-06-15,2019-11-18,Graduated,Bachelor's,NSC,BA IN BUSINESS ADMINISTRATION,MARKETING,1948
a02f400000KbGcSAAV,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,96
a02f400000KbGZnAAN,2019-09-05,,2019-11-18,Attending,Bachelor's,NSC,,,2277
a02f4000006n72oAAA,2017-04-10,2018-06-29,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1978
a02f4000006n72nAAA,2015-09-03,2016-12-17,2019-11-18,Transferred out,Bachelor's,NSC,,,1977
a02f4000006n772AAA,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,3347
a02f4000006n7C9AAI,2016-08-30,2018-02-20,2019-11-18,Withdrew,Bachelor's,NSC,,,2994
a02f400000iSnAYAA0,2020-08-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1868
a02f4000006n7IoAAI,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,2651
a02f400000KZCHXAA5,2019-04-08,2019-06-04,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,2650
a02f400000KZCJ5AAP,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3872
a02f400000BlhzdAAB,2017-09-25,2018-06-29,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3870
a02f400000G1i5lAAB,2019-01-07,2019-03-29,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3871
a02f400000KbGhSAAV,2019-08-19,,2019-11-18,Attending,Bachelor's,NSC,,,1861
a02f4000006n771AAA,2015-08-31,2016-05-05,2019-11-18,Withdrew,Bachelor's,NSC,,,1860
a02f400000KbGZLAA3,2019-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,1103
a02f400000EtzspAAB,2018-09-13,,2019-11-18,Attending,Bachelor's,NSC,,,1670
a02f400000G1i57AAB,2019-01-15,2019-05-17,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1459
a02f400000Bli8pAAB,2018-09-24,2018-12-14,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1458
a02f400000PaNOUAA3,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1922
a02f4000006n6vrAAA,2015-09-14,2017-05-04,2019-11-18,Transferred out,Bachelor's,NSC,,,1921
a02f400000Blhz2AAB,2018-08-16,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1920
a02f4000006n6vsAAA,2017-08-16,2017-12-16,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1919
a02f400000KZCJ2AAP,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1918
a02f4000006n6ejAAA,2014-08-18,2017-08-05,2019-11-18,Graduated,Certificate,NSC,CERTIFICATE PROGRAM,UNIVERSITY TRANSFER: IGETC/CSU,1737
a02f400000PaNPYAA3,2020-02-03,2020-02-11,2019-11-18,Withdrew,Bachelor's,NSC,,,1736
