Id,Needs_NSC_Review__c,NSC_Review_Reason__c,Index (for debugging)
003f400000KvxNuAAJ,True,<Changed>Date discrepancy (Database has 08/21/15-05/15/18 and NSC has 08/23/17-05/15/18): San Francisco State University,1369
003f400000KvxeBAAR,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start),1020
003f400000KvxQUAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),93
003f400000KvxfyAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start),801
003f400000KvxVoAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),1939
003f400000KvxQYAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start),11
003f400000KvxQPAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start),2598
003f400000KvxW7AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),808
003f400000KvxdKAAR,True,<Changed>Date discrepancy (Database has 08/21/17-present and NSC has 08/20/18-present): University of Houston-Downtown,2624
003f400000Kvxe4AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),551
003f400000KvxW6AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),1966
003f400000KvxVQAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),249
003f400000KvxUsAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),2154
003f400000KvxV5AAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start),128
003f400000KvxfsAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start),844
003f400000KvxVTAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start),42
003f400000KvxVTAAZ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Aug 2017 start),44
003f400000KvxVRAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start),257
003f400000KvxVRAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start),258
003f400000KvxVaAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start),1033
003f400000KvxWjAAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start),1546
003f400000Kvxd0AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),1902
003f400000KvxWhAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start),892
003f400000KvxWNAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start),847
003f400000KvxWNAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Aug 2016 start),848
003f400000KvxdMAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),1336
003f400000KvxWGAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),1329
003f400000KvxdHAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start),2901
003f400000KvxTKAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start),1471
003f400000TlTMcAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),110
003f400000KvxWiAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start),2832
003f400000KvxV2AAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),1980
003f400000KvxVdAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),385
003f400000KvxM2AAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),1189
003f400000Kvxd3AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),2847
003f400000KvxSEAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2015 start),120
003f400000KvxQkAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),483
003f400000TlTLXAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),2159
003f400000KvxRyAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start),1593
003f400000KvxRyAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start),1594
003f400000KvxVUAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),2040
003f400000TlTKEAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),109
003f400000KvxV0AAJ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start),882
003f400000KvxWOAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start),450
003f400000KvxWOAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),451
003f400000KvxSQAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start),544
003f400000KvxdcAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),1811
003f400000KvxfjAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),1260
003f400000KvxWRAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start),2329
003f400000KvxVeAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start),2250
003f400000KvxWbAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),852
003f400000KvxdrAAB,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start),2082
003f400000KvxdgAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),38
003f400000KvxVOAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start),559
003f400000KvxVZAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),146
003f400000TlTKVAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),1650
003f400000KvxUtAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start),1585
003f400000KvxUtAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),1586
003f400000Kvxe5AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),2260
