Id,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index (for debugging)
a02f4000006n7BcAAI,09/19/2016,,11/28/2018,Attending,Bachelor's,NSC,,,506
a02f4000006n7PfAAI,09/24/2015,,11/28/2018,Attending,Bachelor's,NSC,,,1538
a02f4000006n7PgAAI,06/06/2016,07/04/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1537
a02f400000BlhyRAAR,08/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,531
a02f4000006n6mbAAA,08/27/2014,12/13/2014,11/28/2018,Transferred out,Bachelor's,NSC,,,1010
a02f4000006n6mYAAQ,01/12/2015,12/18/2015,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1009
a02f400000Bli5lAAB,08/15/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1008
a02f4000006n6maAAA,01/17/2017,05/26/2017,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1007
a02f4000006n6mZAAQ,01/20/2016,05/19/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1006
a02f4000006n7GDAAY,08/17/2015,12/16/2015,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2777
a02f4000006n6y1AAA,09/19/2015,,11/28/2018,Attending,Bachelor's,NSC,,,2212
a02f4000006n79FAAQ,06/01/2016,05/28/2017,11/28/2018,Graduated,Master's,NSC,MASTER OF PUBLIC AFFAIRS,PUBLIC AFFAIRS,1719
a02f4000006n79EAAQ,09/05/2012,05/29/2016,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ANTHROPOLOGY,1718
a02f400000Bli6DAAR,08/15/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2048
a02f4000006n6faAAA,09/24/2015,,11/28/2018,Attending,Bachelor's,NSC,,,978
a02f4000006n6fZAAQ,06/13/2016,07/21/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,977
a02f400000BlhycAAB,08/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1656
a02f4000006n6kFAAQ,01/21/2014,05/22/2015,11/28/2018,Withdrew,Bachelor's,NSC,,,1809
a02f4000006n6kEAAQ,08/17/2016,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1808
a02f400000Bli2lAAB,08/20/2012,12/13/2014,11/28/2018,Withdrew,Bachelor's,NSC,,,2406
a02f4000006n76fAAA,08/16/2017,08/28/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2712
a02f400000Bli1uAAB,06/11/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,134
a02f400000Bli1tAAB,08/15/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,133
a02f4000006n7LOAAY,08/17/2015,05/25/2018,11/28/2018,Graduated,Associate's or Certificate (TBD),NSC,ASSOCIATE IN ARTS,SOCIAL SCIENCE,132
a02f4000006n7IIAAY,09/25/2017,,11/28/2018,Attending,Bachelor's,NSC,,,457
a02f4000006n74KAAQ,08/23/2017,,11/28/2018,Attending,Bachelor's,NSC,,,2050
a02f4000006n74JAAQ,08/31/2015,05/26/2017,11/28/2018,Graduated,Associate's,NSC,ASSOCIATE OF ARTS,LIBERAL ARTS: SOC/BEH SCI,2049
a02f4000006n6htAAA,08/25/2014,05/11/2018,11/28/2018,Withdrew,Bachelor's,NSC,,,1204
a02f4000006n6oYAAQ,08/25/2015,10/04/2016,11/28/2018,Transferred out,Bachelor's,NSC,,,2506
a02f4000006n6oVAAQ,09/05/2017,05/25/2018,11/28/2018,Graduated,Associate's or Certificate (TBD),NSC,ASSOCIATE OF ARTS-TRANSFER,LIBERAL ARTS: SOC/BEH SCI,2505
a02f4000006n6oXAAQ,06/06/2016,09/16/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2504
a02f400000Bli0RAAR,08/21/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2503
a02f4000006n6oWAAQ,06/27/2016,06/30/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2502
a02f4000006n6imAAA,08/21/2015,05/15/2018,11/28/2018,Withdrew,Bachelor's,NSC,,,1369
a02f4000006n7PTAAY,08/21/2015,,11/28/2018,Attending,Bachelor's,NSC,,,1606
a02f4000006n7HJAAY,09/23/2013,06/16/2017,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,SOCIOLOGY,1767
a02f400000Bli62AAB,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2793
a02f4000006n6mfAAA,09/25/2017,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1465
a02f400000Bli3rAAB,09/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2839
a02f4000006n7N6AAI,08/29/2016,02/14/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,572
a02f4000006n7N5AAI,02/16/2015,12/22/2015,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,571
a02f4000006n7N8AAI,01/19/2016,01/06/2017,11/28/2018,Transferred out,Bachelor's,NSC,,,570
a02f4000006n7N4AAI,04/10/2017,06/30/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,569
a02f4000006n7N7AAI,08/25/2017,,11/28/2018,Attending,Bachelor's,NSC,,,568
a02f4000006n7N9AAI,04/10/2017,06/30/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,567
a02f4000006n6v2AAA,09/18/2017,,11/28/2018,Attending,Bachelor's,NSC,,,2332
a02f400000Bli6PAAR,08/29/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2649
a02f4000006n6p1AAA,09/23/2017,06/15/2018,11/28/2018,Transferred out,Bachelor's,NSC,,,2648
a02f400000Bli7vAAB,08/22/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2557
a02f400000Bli16AAB,09/12/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1310
a02f4000006n6j6AAA,08/17/2015,05/19/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1860
a02f4000006n6wlAAA,08/29/2016,05/03/2018,11/28/2018,Withdrew,Bachelor's,NSC,,,10
a02f4000006n77RAAQ,05/31/2016,,11/28/2018,Attending,Bachelor's,NSC,,,2383
a02f4000006n7GRAAY,08/21/2012,05/21/2016,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION STUDIES,2902
a02f400000Bli6cAAB,09/22/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2004
a02f4000006n74gAAA,09/19/2015,12/15/2017,11/28/2018,Transferred out,Bachelor's,NSC,,,2003
a02f400000Bli6dAAB,01/08/2018,06/29/2018,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2002
a02f4000006n75aAAA,08/17/2016,05/25/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,311
a02f4000006n6nMAAQ,08/31/2015,12/17/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2790
a02f4000006n6s5AAA,08/27/2012,05/24/2013,11/28/2018,Withdrew,Bachelor's,NSC,,,1290
a02f4000006n7AKAAY,09/02/2015,05/04/2017,11/28/2018,Transferred out,Bachelor's,NSC,,,517
a02f4000006n7AJAAY,08/16/2017,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,516
a02f4000006n6jxAAA,09/25/2013,03/24/2017,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MANAGERIAL ECONOMICS,1810
a02f400000Bli5FAAR,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1021
a02f4000006n70mAAA,09/05/2017,05/25/2018,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1020
a02f4000006n7O0AAI,09/05/2017,,11/28/2018,Attending,Bachelor's,NSC,,,1314
a02f4000006n7FLAAY,08/17/2015,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1320
a02f400000Bli7IAAR,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2845
a02f4000006n7O4AAI,08/26/2013,05/16/2014,11/28/2018,Transferred out,Bachelor's,NSC,,,1708
a02f4000006n7O3AAI,01/25/2016,02/18/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1707
a02f4000006n7O2AAI,08/25/2014,05/29/2015,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1706
a02f4000006n7O5AAI,09/26/2016,06/30/2017,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1705
a02f4000006n75ZAAQ,08/16/2017,12/16/2017,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2327
a02f4000006n6tvAAA,06/16/2014,08/26/2014,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2881
a02f4000006n6tuAAA,09/25/2013,08/18/2017,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS (PSYCHOLOGY),PSYCHOLOGY,2880
a02f400000Bli0VAAR,06/11/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2409
a02f4000006n6fcAAA,08/28/2017,,11/28/2018,Attending,Bachelor's,NSC,,,2408
a02f4000006n778AAA,08/16/2017,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1964
a02f400000Bli1JAAR,08/15/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1963
a02f4000006n6uqAAA,08/31/2015,,11/28/2018,Attending,Bachelor's,NSC,,,1869
a02f400000BlhxkAAB,08/21/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2643
a02f4000006n7HUAAY,08/27/2012,11/15/2012,11/28/2018,Transferred out,Bachelor's,NSC,,,542
a02f4000006n7HTAAY,08/29/2011,10/27/2011,11/28/2018,Transferred out,Bachelor's,NSC,,,541
a02f400000Bli1qAAB,04/09/2018,06/29/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,540
a02f4000006n7HYAAY,04/06/2015,09/16/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,539
a02f4000006n7HXAAY,09/22/2014,10/19/2014,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,538
a02f4000006n7HWAAY,09/23/2013,12/13/2013,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,537
a02f4000006n7HSAAY,01/30/2012,05/19/2012,11/28/2018,Transferred out,Bachelor's,NSC,,,536
a02f4000006n7HVAAY,01/14/2013,05/24/2013,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,535
a02f400000Bli0kAAB,05/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1313
a02f4000006n7CyAAI,08/30/2016,05/01/2018,11/28/2018,Transferred out,Bachelor's,NSC,,,1312
a02f400000Bli0lAAB,09/24/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1311
a02f400000Bli7zAAB,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1203
a02f4000006n738AAA,08/24/2016,,11/28/2018,Attending,Bachelor's,NSC,,,37
a02f4000006n749AAA,08/23/2016,05/19/2017,11/28/2018,Transferred out,Bachelor's,NSC,,,1942
a02f400000Bli0cAAB,09/25/2017,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1941
a02f4000006n7HvAAI,01/17/2017,12/15/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2248
a02f400000Bli93AAB,08/14/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2247
a02f4000006n7HxAAI,06/12/2017,08/04/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2246
a02f4000006n7HwAAI,08/17/2015,12/15/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2245
a02f4000006n77tAAA,06/16/2014,08/09/2014,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1584
a02f4000006n77rAAA,08/25/2014,05/31/2017,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,AGRICULTURAL BUSINESS (BS),1583
a02f4000006n77sAAA,08/29/2012,05/15/2014,11/28/2018,Transferred out,Bachelor's,NSC,,,1582
a02f400000BlhzxAAB,07/02/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,799
a02f4000006n7OSAAY,04/10/2017,06/30/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,798
a02f4000006n7ORAAY,06/06/2016,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,797
a02f400000Bli0LAAR,08/23/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2224
a02f4000006n72DAAQ,08/28/2017,,11/28/2018,Attending,Bachelor's,NSC,,,1087
a02f400000Bli7qAAB,01/29/2018,05/26/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1122
a02f4000006n6gAAAQ,06/13/2016,08/05/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1121
a02f4000006n6g9AAA,01/05/2015,06/15/2017,11/28/2018,Transferred out,Bachelor's,NSC,,,1120
a02f4000006n6g8AAA,09/21/2013,06/12/2014,11/28/2018,Withdrew,Bachelor's,NSC,,,1119
a02f400000Bli7pAAB,01/08/2018,03/30/2018,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1118
