Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index (for debugging)
003f400000KvxQUAAZ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,93
003f400000KvxVoAAJ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1939
003f400000KvxQYAAZ,001f400000LvhyxAAB,01/29/2018,05/25/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,11
003f400000Kvxe4AAB,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,551
003f400000KvxV5AAJ,001f400000LvhyxAAB,01/29/2018,05/25/2018,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,128
003f400000KvxVTAAZ,001f400000kty27AAA,08/14/2017,05/18/2018,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,44
003f400000KvxVRAAZ,001f400000LvhyxAAB,01/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,258
003f400000KvxWjAAJ,001f400000LvhyxAAB,01/29/2018,05/25/2018,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1546
003f400000Kvxd0AAB,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1902
003f400000KvxWNAAZ,001f400000LvhyxAAB,01/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,847
003f400000KvxWNAAZ,001f400000kty27AAA,08/15/2016,05/19/2017,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,848
003f400000KvxdMAAR,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1336
003f400000KvxWGAAZ,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1329
003f400000KvxdHAAR,001f400000LvhyxAAB,01/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2901
003f400000TlTMcAAN,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,110
003f400000KvxV2AAJ,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1980
003f400000KvxM2AAJ,001f400000ktypnAAA,09/06/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1189
003f400000Kvxd3AAB,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2847
003f400000TlTLXAA3,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2159
003f400000KvxRyAAJ,001f400000LvhyxAAB,01/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1594
003f400000TlTKEAA3,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,109
003f400000KvxV0AAJ,001f400000LvhyxAAB,01/29/2018,05/25/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,882
003f400000KvxWOAAZ,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,451
003f400000KvxdcAAB,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1811
003f400000KvxfjAAB,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1260
003f400000KvxWbAAJ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,852
003f400000KvxdrAAB,001f400000LvhyxAAB,01/29/2018,05/25/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2082
003f400000KvxdgAAB,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,38
003f400000KvxVZAAZ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,146
003f400000TlTKVAA3,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1650
003f400000KvxUtAAJ,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1586
003f400000Kvxe5AAB,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2260
003f400000KvxQdAAJ,001f400000LvhyxAAB,01/29/2018,05/25/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2121
003f400000KvxVbAAJ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1411
003f400000KvxcxAAB,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1634
003f400000KvxQRAAZ,001f400000LvhyxAAB,01/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2429
003f400000Kvxe3AAB,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2680
003f400000KvxcyAAB,001f400000LvhyxAAB,01/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,478
003f400000KvxRIAAZ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,151
003f400000KvxVGAAZ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,471
003f400000KvxeHAAR,001f400000LvhyxAAB,06/18/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2438
003f400000OdnFYAAZ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,615
003f400000KvyByAAJ,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1962
003f400000TlTPgAAN,001f400000LvhyxAAB,09/04/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,813
